INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonYrAxis,MonthNum,YearNum,firstAppear,Num_Vic,Odd_Even_Vic
92152095,8/15/2013,23:55:00,11 PM,BROOKLYN,TRUE,40.59372081,-73.98320456,1,0,1,1,1,1,1,0,8/1/2013,41487,8,13,1,4,FALSE
92175189,8/18/2013,5:00:00,5 AM,BRONX,FALSE,40.8793255,-73.87487685,1,1,0,1,1,1,1,1,8/1/2013,41487,8,13,1,4,FALSE
92293263,8/25/2013,0:58:00,12 AM,BROOKLYN,FALSE,40.64795003,-73.99840931,1,1,0,1,1,1,0,0,8/1/2013,41487,8,13,1,4,FALSE
92507553,9/7/2013,3:05:00,3 AM,BRONX,TRUE,40.82339303,-73.91833725,1,0,1,1,1,1,1,0,9/1/2013,41518,9,13,1,4,FALSE
92952445,10/5/2013,0:45:00,12 AM,BRONX,TRUE,40.87117436,-73.85214646,1,0,1,1,1,1,1,0,10/1/2013,41548,10,13,1,4,FALSE
93102602,10/15/2013,3:00:00,3 AM,BROOKLYN,FALSE,40.67572745,-73.92149748,1,1,0,1,1,1,0,0,10/1/2013,41548,10,13,1,4,FALSE
93525205,11/11/2013,0:04:00,12 AM,BROOKLYN,TRUE,40.7122924,-73.93625826,1,0,1,1,1,1,1,0,11/1/2013,41579,11,13,1,4,FALSE
93607539,11/15/2013,16:10:00,4 PM,BRONX,FALSE,40.81278201,-73.9092405,1,1,0,1,1,1,1,1,11/1/2013,41579,11,13,1,4,FALSE
94163097,12/23/2013,20:06:00,8 PM,QUEENS,TRUE,40.59523867,-73.76373412,1,0,1,1,1,1,1,0,12/1/2013,41609,12,13,1,4,FALSE
94317619,1/3/2014,16:10:00,4 PM,QUEENS,TRUE,40.67998074,-73.77623391,1,0,1,1,1,1,1,1,1/1/2014,41640,1,14,1,8,FALSE
94424905,1/10/2014,17:25:00,5 PM,BRONX,FALSE,40.85052146,-73.90514945,1,1,0,1,1,1,0,1,1/1/2014,41640,1,14,1,12,FALSE
94738552,1/31/2014,21:14:00,9 PM,BRONX,TRUE,40.82661768,-73.90313952,1,0,1,1,1,1,1,1,1/1/2014,41640,1,14,1,8,FALSE
